日期,价格
20130922,97750.00
20130923,98112.50
20130924,98012.50
20130925,97200.00
20130926,97275.00
20130927,97525.00
20130929,97525.00
20130930,97987.50
20131008,97687.50
20131009,97887.50
20131010,97212.50
20131011,97362.50
20131012,97362.50
20131014,97387.50
20131015,97837.50
20131016,97787.50
20131017,97937.50
20131018,97937.50
20131021,98937.50
20131022,100662.50
20131023,102337.50
20131024,100037.50
20131025,100487.50
20131028,100287.50
20131029,100037.50
20131030,100062.50
20131031,99962.50
20131101,99762.50
20131104,99212.50
20131105,98350.00
20131106,98362.50
20131107,97762.50
20131108,97437.50
20131111,97237.50
20131112,96537.50
20131113,96062.50
20131114,96612.50
20131115,96637.50
20131118,96637.50
20131119,95812.50
20131120,95662.50
20131121,95262.50
20131122,95125.00
20131125,94937.50
20131126,94987.50
20131127,94862.50
20131128,93912.50
20131129,93337.50
20131202,93962.50
20131203,93862.50
20131204,93937.50
20131205,94887.50
20131206,95162.50
20131209,95087.50
20131210,95912.50
20131211,95912.50
20131212,96287.50
20131213,95937.50
20131216,95937.50
20131217,95887.50
20131218,95912.50
20131219,95837.50
20131220,95925.00
20131223,97312.50
20131224,96637.50
20131225,96437.50
20131226,96550.00
20131227,96737.50
20131230,96712.50
20131231,96287.50
20140102,95787.50
20140103,95487.50
20140106,95362.50
20140107,94237.50
20140108,94112.50
20140109,93875.00
20140110,93012.50
20140113,95912.50
20140114,96262.50
20140115,96662.50
20140116,97662.50
20140117,97587.50
20140120,96462.50
20140121,96375.00
20140122,97062.50
20140123,96787.50
20140124,96187.50
20140127,95287.50
20140128,94550.00
20140129,94687.50
20140130,94687.50
20140131,94687.50
20140203,94687.50
20140204,94687.50
20140205,94687.50
20140206,94687.50
20140207,95237.50
20140210,95762.50
20140211,95412.50
20140212,95287.50
20140213,95662.50
20140214,95087.50
20140217,95437.50
20140218,95337.50
20140219,95437.50
20140220,95387.50
20140221,95012.50
20140224,94237.50
20140225,94112.50
20140226,93612.50
20140227,93512.50
20140228,93937.50
20140303,94137.50
20140304,94137.50
20140305,95737.50
20140306,95312.50
20140307,95837.50
20140310,94112.50
20140311,94637.50
20140312,95012.50
20140313,96262.50
20140314,96237.50
20140317,96312.50
20140318,97187.50
20140319,102462.50
20140320,104462.50
20140321,102312.50
20140324,102762.50
20140325,102812.50
20140326,102512.50
20140327,101437.50
20140328,101437.50
20140331,102487.50
20140401,103387.50
20140402,104837.50
20140403,104637.50
20140404,105862.50
20140407,105862.50
20140408,108562.50
20140409,109462.50
20140410,116537.50
20140411,118487.50
20140414,121112.50
20140415,122412.50
20140416,117687.50
20140417,122187.50
20140418,121087.50
20140421,121012.50
20140422,123137.50
20140423,127650.00
20140424,127412.50
20140425,124450.00
20140428,127337.50
20140429,124512.50
20140430,124650.00
20140501,124650.00
20140502,124650.00
20140505,125575.00
20140506,127375.00
20140507,128775.00
20140508,131550.00
20140509,144300.00
20140512,146900.00
20140513,151925.00
20140514,145825.00
20140515,134712.50
20140516,133250.00
20140519,136712.50
20140520,140812.50
20140521,137062.50
20140522,138862.50
20140523,139125.00
20140526,138212.50
20140527,138350.00
20140528,138087.50
20140529,133787.50
20140530,133512.50
20140602,133512.50
20140603,135975.00
20140604,133200.00
20140605,133737.50
20140606,134075.00
20140609,132550.00
20140610,132200.00
20140611,129987.50
20140612,127212.50
20140613,127600.00
20140616,127075.00
20140617,128937.50
20140618,131962.50
20140619,126387.50
20140620,128462.50
20140623,127737.50
20140624,126650.00
20140625,125050.00
20140626,126587.50
20140627,127912.50
20140630,127937.50
20140701,130450.00
20140702,131087.50
20140703,135112.50
20140704,134175.00
20140707,130487.50
20140708,130800.00
20140709,133125.00
20140710,131075.00
20140711,131800.00
20140714,132112.50
20140715,131587.50
20140716,131925.00
20140717,131600.00
20140718,131437.50
20140721,127287.50
20140722,129250.00
20140723,129400.00
20140724,129987.50
20140725,130425.00
20140728,131425.00
20140729,129875.00
20140730,129650.00
20140731,130675.00
20140801,129287.50
20140804,128900.00
20140805,129412.50
20140806,129087.50
20140807,129812.50
20140808,130450.00
20140811,129700.00
20140812,129925.00
20140813,130350.00
20140814,130100.00
20140815,130150.00
20140818,130275.00
20140819,129662.50
20140820,129775.00
20140821,130762.50
20140822,130662.50
20140825,130275.00
20140826,130437.50
20140827,130537.50
20140828,130350.00
20140829,130050.00
20140901,130112.50
20140902,130112.50
20140903,129925.00
20140904,131250.00
20140905,132950.00
20140908,132950.00
20140909,132950.00
20140910,130362.50
20140911,129912.50
20140912,129012.50
20140915,128950.00
20140916,127562.50
20140917,127075.00
20140918,125700.00
20140919,125187.50
20140922,121675.00
20140923,116650.00
20140924,118425.00
20140925,119962.50
20140926,118700.00
20140929,114575.00
20140930,114562.50
20141001,114562.50
20141002,114562.50
20141003,114562.50
20141006,114562.50
20141007,114562.50
20141008,115250.00
20141009,113987.50
20141010,114187.50
20141011,114187.50
20141013,113550.00
20141014,113575.00
20141015,112537.50
20141016,107137.50
20141017,106762.50
20141020,107300.00
20141021,104137.50
20141022,104162.50
20141023,103550.00
20141024,103562.50
20141027,103562.50
20141028,99837.50
20141029,105850.00
20141030,104762.50
20141031,106125.00
20141103,106087.50
20141104,106050.00
20141105,102312.50
20141106,103962.50
20141107,104350.00
20141110,103762.50
20141111,103637.50
20141112,104900.00
20141113,105812.50
20141114,104512.50
20141117,106000.00
20141118,106650.00
20141119,106662.50
20141120,110975.00
20141121,111550.00
20141124,112487.50
20141125,112912.50
20141126,112575.00
20141127,111950.00
20141128,111862.50
20141201,110700.00
20141202,111512.50
20141203,112087.50
20141204,114825.00
20141205,118375.00
20141208,116050.00
20141209,115750.00
20141210,115750.00
20141211,115350.00
20141212,114437.50
20141215,117237.50
20141216,115287.50
20141217,113262.50
20141218,110562.50
20141219,109537.50
20141222,110362.50
20141223,110162.50
20141224,109137.50
20141225,107662.50
20141226,108600.00
20141229,109050.00
20141230,107837.50
20141231,108687.50
20150101,108687.50
20150102,108687.50
20150105,108075.00
20150106,108487.50
20150107,110475.00
20150108,111187.50
20150109,110987.50
20150112,110250.00
20150113,109112.50
20150114,104825.00
20150115,107437.50
20150116,107362.50
20150119,108537.50
20150120,107700.00
20150121,109012.50
20150122,110012.50
20150123,107850.00
20150126,104937.50
20150127,107212.50
20150128,107162.50
20150129,108412.50
20150130,108137.50
20150202,109162.50
20150203,110175.00
20150204,110262.50
20150205,108087.50
20150206,108687.50
20150209,108687.50
20150210,108662.50
20150211,107325.00
20150212,106450.00
20150213,106925.00
20150216,107262.50
20150217,106750.00
20150218,106750.00
20150219,106750.00
20150220,106750.00
20150223,106750.00
20150224,106750.00
20150225,106425.00
20150226,105912.50
20150227,105862.50
20150302,105075.00
20150303,103987.50
20150304,102637.50
20150305,104350.00
20150306,105025.00
20150309,105300.00
20150310,105400.00
20150311,104250.00
20150312,103700.00
20150313,104550.00
20150316,105137.50
20150317,104175.00
20150318,103900.00
20150319,103875.00
20150320,103537.50
20150323,104987.50
20150324,105312.50
20150325,104525.00
20150326,103712.50
20150327,103700.00
20150328,103700.00
20150330,100637.50
20150331,97962.50
20150401,96512.50
20150402,97012.50
20150403,98775.00
20150406,98775.00
20150407,100037.50
20150408,95987.50
20150409,96312.50
20150410,95075.00
20150413,95037.50
20150414,94137.50
20150415,94612.50
20150416,95375.00
20150417,95037.50
20150420,94162.50
20150421,94725.00
20150422,94725.00
20150423,94625.00
20150424,94812.50
20150427,98912.50
20150428,99437.50
20150429,99687.50
20150430,100500.00
